hit_id,hit_symbol,input_id,input_symbol,functional_sim_score,functional_sim_rank,num_protein_interactions
HGNC:17895,UBE2S,HGNC:21576,NHLRC1,0.35789473684210527,35.0,
HGNC:12611,USP13,HGNC:21576,NHLRC1,0.30357142857142855,146.0,
HGNC:12627,USP4,HGNC:21576,NHLRC1,0.3081081081081081,132.0,
HGNC:12628,USP5,HGNC:21576,NHLRC1,0.3475609756097561,48.0,
HGNC:20482,WDFY2,HGNC:21576,NHLRC1,0.32413793103448274,93.0,
HGNC:28073,ZFAND2A,HGNC:21576,NHLRC1,0.3225806451612903,95.0,
HGNC:14983,ZFP91,HGNC:21576,NHLRC1,0.3686868686868687,22.0,
HGNC:18452,ZNRF1,HGNC:21576,NHLRC1,0.3208955223880597,99.0,
,MT-RNR1,HGNC:21576,NHLRC1,0.36363636363636365,27.0,
,FAM129A,HGNC:21576,NHLRC1,0.32941176470588235,77.0,
,MMD2,HGNC:21576,NHLRC1,0.32620320855614976,86.0,
,MARCH6,HGNC:21576,NHLRC1,0.3018867924528302,153.0,
